"depths","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
10,28,41,5,61,3,9,40,0,41,60,2
14,31,31,2,82,2,6,38,0,60,64,0
20,34,24,1,109,3,4,35,0,34,62,0
24,26,34,1,102,4,2,50,0,29,67,0
30,19,21,4,121,3,4,36,0,15,87,0
40,22,37,5,100,7,2,36,0,29,67,0
50,28,35,1,109,2,2,44,0,25,47,0
60,23,33,7,102,2,3,42,0,27,56,0
70,51,23,1,104,1,3,31,0,23,52,0
80,62,33,17,78,3,3,43,0,32,36,0
90,89,17,2,62,8,5,34,0,44,30,0
100,62,32,5,28,4,9,61,0,47,29,0
110,55,34,5,34,3,3,41,0,47,49,0
120,46,52,5,30,3,5,52,0,49,35,0
130,49,31,5,16,3,2,41,0,57,79,0
140,63,32,2,9,5,6,69,0,55,39,0
150,64,39,1,16,2,15,58,0,39,51,0
170,73,40,2,15,3,3,52,0,45,40,2
190,60,41,4,26,6,7,60,0,40,45,2
200,112,63,5,44,5,9,47,0,56,31,0
210,88,70,4,31,6,2,31,0,34,13,0
230,48,22,0,105,2,3,52,0,40,17,0
250,16,8,4,210,1,1,17,0,22,14,1
270,29,17,0,144,2,4,31,0,32,28,0
290,24,22,0,133,1,3,36,0,42,60,1
310,3,5,0,81,1,1,48,1,134,127,0
330,7,17,1,70,2,3,36,4,48,140,1
350,1,13,0,19,2,1,31,18,48,222,5
370,3,13,0,35,1,0,45,21,80,129,11
390,2,9,0,2,0,0,53,8,100,71,87
400,1,15,0,0,1,0,86,18,169,100,174
420,0,4,0,0,2,0,48,5,56,75,132
440,0,8,0,0,0,0,54,5,63,44,164
460,0,11,0,0,1,0,21,1,53,37,196
480,0,20,1,0,2,0,45,2,66,64,142
500,0,3,0,0,0,0,25,2,41,56,87
520,0,17,0,1,6,0,29,2,77,104,118
540,0,10,0,0,1,0,26,1,56,55,69
560,0,6,0,0,2,0,18,3,34,78,79
580,1,6,0,5,0,0,18,2,26,77,70
600,0,16,1,6,1,0,63,4,60,72,109
620,0,5,0,0,1,0,18,0,20,68,47
640,0,7,0,0,1,0,19,0,23,88,88
660,0,4,0,0,0,0,10,1,19,72,63
680,7,8,0,17,0,2,30,2,43,68,43
710,4,8,0,4,0,0,19,0,23,89,72
