"depths","Beech","Birch","Chestnut","Hemlock","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
4,13,144,0,7,27,3,8.5,8,60,59,1
7,19,187,0,10,34,73,12,15,36,68,0
10,14,152,0,4,9,9,12,7,51,57,0
12,35,364,0,7,19,3,10,25,115,128.5,1
14,14,161,0,4,4,2,20,9,57,54.5,0
15.5,20,223,1,15,13,6,5.5,11,78,91.5,1
19,60,436,0,45,5,13,9.5,58,249.5,123.5,3
23,20,324,0,41,5,17,7.5,16,112,69.5,0
24.5,14,242,0,30,1,12,7,5,124,50.5,0
25.5,75,610,0,52,9,11,8,30,407,73.5,2
27,29,232,0,26,7,6,15,8,151,33.5,0
28,46,337,2,38,8,9,2,30,181.5,30.5,1
29.5,28,265,0,22,6,7,5,3,110,36.5,0
32,67,409,0,63,14,21,11,24,435,27,0
34,27,206,0,32,3,14,14,4,225,10.5,0
35.5,12,209,0,22,3,4,9.5,10,197,4.5,0
37,18,330,0,29,2,6,8.5,24,433,13,0
38,23,219,0,18,2,4,7.5,6,172,9,0
39,15,725,0,29,3,4,7.5,4,268,28.5,0
40.5,36,250,0,16,10,9,10.5,8,317,10.5,0
43,33,440,0,21,10,17,3,73,509,28,0
44.5,16,185,0,31,2,8,7,5,223,5.5,0
46,8,238,0,43,1,8,6,23,488,21.5,0
47.5,3,173,0,37,3,12,7.5,6,462,6.5,0
49,0,100,0,56,1,5,1.5,5,398,6.5,0
50,1,313,0,53,11,9,7,15,364,17.5,0
52,4,215,0,56,8,8,7,7,331,12,0
54,0,264,0,78,8,7,3,3,346.5,8.5,0
56,0,151,0,46,9,10,5,11,393,16,0
58.5,7,402,0,46,18,47,28.5,89,1700,42,0
