"depths","Beech","Birch","Chestnut","Hemlock","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
7,4,86,0,8,8,1,20.5,5,112,116
9,1,73,0,7,8,5,11.5,14,124,130.5
11,3,59,0,22,2,0,15.5,7,160,115.5
12,2,66,0,12,4,2,23.5,6,107,123.5
13,3,100,1,18,2,4,11.5,3,100,101.5
14,0,116,0,6,5,1,15.5,12,108,115.5
15,3,78,0,20,1,2,10.5,1,107,126.5
16,7,82,0,17,3,2,28.5,3,143,108.5
17,4,113,0,21,5,5,10,6,124,105
19,5,92,1,33,3,2,7,25,154,52
20,13,115,0,28,5,5,17,46,110,72.5
22,1,81,1,58,2,5,15,8,149,79
24,1,87,0,76,4,1,27,5,264,65.5
25,3,127,1,77,13,3,26,23,183,59.5
27,7,174,0,41,7,4,18,31,441,41
28.5,4,114,0,31,3,1,7,8,271,29.5
30,0,127,0,31,5,2,5.5,5,264,36.5
32,1,78,0,23,3,0,3,4,358,27.5
33.5,0,75,0,17,7,1,0.5,7,366,32
35,1,95,0,20,5,0,5.5,10,299,34.5
37,4,106,0,18,0,1,6.5,6,372,39
40,8,118,0,5,7,4,8.5,17,203,33.5
42,5,46,0,8,6,3,6,3,429,17.5
43.5,0,88,0,11,8,7,14,7,498,32.5
45,0,91,0,3,17,3,6,7,355,23
47,0,134,0,16,5,1,11.5,9,547,40.5
48,0,80,0,6,5,2,13.5,10,507,23.5
49,0,64,0,23,3,1,21,8,422,32
50,0,77,0,55,6,0,11,9,316,15
52,1,128,0,73,1,2,17.5,9,600,23
53.5,0,31,0,38,4,2,14,9,484,15
55,0,58,0,11,7,1,22,9,796,39.5
57,0,40,0,1,2,1,5.5,5,470,36.5
60,0,41,0,6,0,0,17,19,376,51.5
62.5,0,126,0,3,1,4,5,24,397,15
65,0,186,0,5,5,1,22.5,63,171,61.5
67,0,113,0,0,1,8,14.5,75,74,62
70,0,60,0,1,2,4,3.5,35,79,150.5
72,0,55,0,0,1,1,11.5,29,54,192.5
75,0,124,0,0,4,1,1,28,24,120
