"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
1200.25,0,6,44,0,3,0,0,27,0,15,48,2,0
1209.75,0,46,138,0,52,1,8,46,0,13,96,8,0
1219.75,0,20,144,0,22,0,8,43,0,30,69,7,0
1229.5,0,15,109,0,10,0,9,41,0,27,127,9,0
1239.5,0,24,98,1,40,0,12,32,0,21,104,13,0
1249.5,0,43,103,0,71,2,13,13,0,15,73,25,0
1259.5,0,39,57,0,156,1,6,17,0,11,23,14,0
1260,1,43,61,0,85,1,9,34,0,9,92,17,0
1270,1,67,56,0,147,3,11,16,1,12,90,8,0
1280,2,71,51,0,133,1,11,16,0,12,27,11,0
1290,1,48,61,0,134,1,9,18,0,10,44,1,0
1300,4,79,68,1,105,2,13,18,0,10,25,2,0
1310,3,64,64,1,142,1,7,14,0,8,65,2,0
1320,0,55,63,0,154,2,17,20,0,12,49,1,0
1330,4,82,106,0,73,1,15,26,0,14,76,0,0
1340,1,80,78,1,52,1,8,61,0,9,41,0,0
1350,2,55,92,0,37,3,5,89,0,12,67,0,0
1360,3,69,75,0,25,1,27,66,0,14,70,0,0
1368,7,60,126,0,10,1,7,58,3,50,116,1,0
1370,4,18,93,0,6,1,7,46,0,49,65,0,0
1384,0,44,107,0,16,2,8,98,1,34,91,5,0
1390,5,76,68,0,98,1,16,18,2,16,34,1,0
1400,0,76,82,0,90,0,19,19,1,12,45,1,0
1410,0,10,70,0,44,0,1,57,2,9,152,2,0
1420,5,11,148,0,72,0,3,62,0,17,56,0,0
1430,0,14,90,0,55,0,5,86,0,21,64,3,0
1440,5,50,66,0,127,1,15,36,0,14,79,0,1
1450,4,46,46,0,81,0,12,40,0,9,116,1,0
1460,6,37,96,0,65,1,4,72,0,21,31,0,1
1470,6,75,62,0,219,0,4,23,0,14,38,7,2
1480,4,59,52,0,95,0,24,38,0,20,31,0,0
1490,6,15,129,0,93,0,0,48,0,11,93,4,0
1500,0,72,90,0,41,0,25,41,0,17,45,0,0
1510,5,0,78,0,4,1,2,66,0,19,186,6,0
1520,5,2,110,0,13,3,4,81,1,29,91,8,0
1530,5,2,74,0,22,1,8,83,0,23,130,0,0
1540,8,3,66,1,44,2,10,99,1,19,131,3,0
1550,10,0,80,0,19,0,4,124,0,47,141,2,0
1560,0,0,60,0,11,1,6,76,1,37,218,2,0
1570,0,0,83,1,2,0,5,93,0,59,91,0,0
1580,7,3,93,2,3,0,4,76,0,33,162,4,0
1590,6,4,72,0,49,0,5,76,0,16,174,6,0
1600,7,0,116,2,1,1,5,46,14,35,177,40,0
1607,0,0,108,0,1,0,0,21,8,100,36,33,9
1610,0,1,75,0,3,0,2,15,0,85,67,45,0
1613,6,0,43,0,2,1,2,17,10,90,43,77,6
1617,12,0,50,0,7,0,1,16,7,94,65,56,9
1620,0,0,74,1,3,0,1,1,3,42,35,130,0
1623,0,0,82,0,2,0,1,0,6,61,37,97,1
1627,2,0,42,0,0,1,0,3,1,40,51,135,0
1630,0,0,27,0,0,0,0,0,0,15,60,220,0
1633,1,0,8,0,0,0,0,8,1,11,45,214,0
1635,0,0,34,0,0,0,0,10,0,11,58,187,0
1640,0,0,20,0,0,0,0,7,0,24,25,42,0
1650,0,0,3,0,0,0,0,0,0,3,5,9,0
