"depths","Ash","Beech","Birch","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce","Tamarack"
0,0,9,145,17,1,13,1,6,5,112,12,0
1,1,11,175,9,0,1,5,2,2,91,18,3
2,3,7,158,20,0,7,4,5,6,85,21,1
3,2,19,168,12,0,11,8,7,5,87,15,0
4,0,8,182,22,0,9,4,1,1,64,16,1
5,2,13,118,8,0,6,6,4,5,145,13,0
6,2,14,150,18,0,6,3,4,6,99,18,0
7,1,22,175,16,0,7,3,3,0,81,21,0
9,1,15,167,22,0,9,8,4,9,57,19,0
11,2,23,167,34,0,3,3,5,6,41,25,0
12,1,34,132,17,1,8,10,0,10,50,51,0
18,1,45,128,31,1,4,15,3,18,58,31,0
24,2,30,101,44,0,14,9,1,13,57,55,1
30,3,25,112,58,2,7,11,1,6,80,36,0
36,2,40,126,50,1,6,7,1,8,48,69,0
42,0,41,106,62,1,1,12,0,9,55,34,0
44,4,32,106,55,0,7,7,1,9,59,37,0
46,0,30,168,32,2,4,6,0,15,49,20,0
48,0,21,227,21,0,2,12,0,16,22,6,0
